time,Ca_x,x_len,y_len,major_len,minor_len
2.01,-0.5171653001994798,2.3275403,2.4655014,2.3275405334833748,2.465506263576576
2.02,-0.5194778556190517,2.3149792,2.4787505000000003,2.3149794329783937,2.478755475286927
2.03,-0.5217866123764371,2.3024012000000003,2.49208,2.3024014322965014,2.492085090589475
2.04,-0.5240915535889396,2.2898072000000003,2.5054889,2.289807431415927,2.5054941097589314
2.05,-0.5263926624017636,2.2771983000000002,2.5189767,2.2771985303149638,2.5189820327432932
2.06,-0.528689921988138,2.2645752999999997,2.532543,2.2645755289779705,2.5325484601702177
2.07,-0.5309833155494389,2.2519394,2.5461871,2.251939627362005,2.546192692119639
2.08,-0.5332728263153126,2.2392912,2.5599086,2.2392914254953666,2.559914328834015
2.09,-0.535558437543798,2.2266319,2.5737068,2.2266321232268407,2.573712670904187
2.1,-0.5378401325214494,2.2139623,2.5875808,2.2139625206492886,2.5875868183424444
2.11,-0.5401178945634585,2.2012834999999997,2.6015301,2.201283717557155,2.601536271903358
2.12,-0.5423917070137766,2.1885961,2.6155537,2.1885963140086186,2.6155600316716807
2.13,-0.5446615532452359,2.1759013,2.6296507,2.1759015099911383,2.62965719855766
2.14,-0.5469274166596718,2.1632,2.6438202000000004,2.1632002053495447,2.64382687261742
2.15,-0.5491892806880435,2.150493,2.658061,2.1504932000137096,2.6580678547312244
2.16,-0.551447128790556,2.1377813000000003,2.672372,2.1377814938745194,2.6723790452113483
2.17,-0.5537009444567803,2.1250658,2.6867520000000003,2.1250659868683077,2.6867592450325484
2.18,-0.5559507112057746,2.1123474,2.7011997,2.112347578936714,2.7012071549060646
2.19,-0.5581964125862043,2.099627,2.7157134999999997,2.0996271697521065,2.715721175473101
2.2,-0.5604380321764633,2.0869056,2.7302919,2.086905759238587,2.730299808022207
2.21,-0.5626755535847927,2.0741841,2.7449333,2.0741842473206313,2.7449414531220215
2.22,-0.564908960449402,2.0614634,2.7596358,2.0614635335088094,2.759644212126221
2.23,-0.5671382364385879,2.0487444,2.7743976000000004,2.0487445177626857,2.7744062863491914
2.24,-0.569363365250854,2.036028,2.7892162999999996,2.036028099668106,2.7892252771332497
2.25,-0.5715843306150296,2.0233153,2.8040901,2.023315378743285,2.804099386156423
2.26,-0.5738011162903898,2.0106071,2.8190162,2.010607154676655,2.8190258152689993
2.27,-0.5760137060667732,1.9979044,2.8339921,1.997904426731822,2.834002066080398
2.28,-0.5782220837647003,1.9852081,2.8490151,1.9852080942286445,2.8490254415560248
2.29,-0.580426233235493,1.9725195,2.8640821,1.9725194561950756,2.864092844076301
2.3,-0.5826261383613914,1.9598391,2.8791898,1.9598390118468403,2.8792009762734216
2.31,-0.5848217830556725,1.9471684,2.8943347,1.9471682593485415,2.894346341977501
2.32,-0.5870131512627674,1.9345082,2.9095131,1.9345079971394106,2.9095252450546694
2.33,-0.5892002269583789,1.9218596,2.9247209,1.9218593229873928,2.924733589898559
2.34,-0.5913829941495986,1.9091882999999998,2.9396964,2.939740644209258,1.909186987261522
2.35,-0.593561436875024,1.8964842,2.9549665000000003,2.955009714423692,1.896483084370988
2.36,-0.5957355392048751,1.8837824,2.9702472,2.9702894409334717,1.883781466585341
2.37,-0.5979052852411105,1.8710851000000002,2.9855331,2.9855744169904375,1.8710843348210169
2.38,-0.6000706591175444,1.8583949,3.0008181,3.000858535615105,1.8583942904222501
2.39,-0.6022316449999624,1.8457142000000002,3.0160956,3.0161351927951032,1.8457137344060597
2.4,-0.6043882270862366,1.8330454,3.0313587,3.031397482836002,1.833045067437763
2.41,-0.6065403896064422,1.8203911,3.0465998,3.0466378015047466,1.8203908906215813
2.42,-0.608688116822972,1.8077541,3.0618107,3.0618479453073295,1.8077540044778675
2.43,-0.6108313930306518,1.7951367,3.0769826,3.0770191107036666,1.7951367096890083
2.44,-0.6129702025568556,1.7825421000000001,3.092106,3.092141795540722,1.7825422071470864
2.45,-0.6151045297616194,1.7699731,3.1071709,3.107205997165062,1.7699732971495354
2.46,-0.6172343590377563,1.7574329,3.1221661000000003,3.122200513700315,1.7574331806237757
2.47,-0.6193596748109701,1.7449249,3.1370798,3.137113544004345,1.744925257638502
2.48,-0.6214804615399695,1.7324525,3.1518992,3.151932286084511,1.7324529289845534
2.49,-0.6235967037165818,1.7200196,3.1666108,3.166643239898405,1.7200200950417197
2.5,-0.625708385865866,1.7076305,3.1811993999999997,3.1812312041038586,1.7076310560084784
2.51,-0.627815492546226,1.6952896,3.1956496000000003,3.195680778769918,1.6952902123861513
2.52,-0.6299180083495244,1.6830019,3.2099442,3.209974762613265,1.6830025647039608
2.53,-0.6320159179011934,1.6707728,3.2240649,3.224094856399227,1.6707735129399224
2.54,-0.6341092058603487,1.6586081,3.2379924,3.2380217593544867,1.6586088579001754
2.55,-0.6361978569199013,1.6465146000000002,3.251706,3.2517347714956397,1.64651539951574
2.56,-0.6382818558066693,1.6344994000000002,3.2651835,3.26521169261983,1.6345002381975027
2.57,-0.6403611872814896,1.6225703999999999,3.2784017,3.2784293233086648,1.622571274231969
2.58,-0.6424358361393292,1.6107362,3.2913361,3.2913631629281532,1.6107371078530126
2.59,-0.644505787209397,1.5990067,3.3039612,3.3039877116572987,1.5990076391256178
2.6,-0.6465710253552539,1.5873922,3.3162503,3.316276269520345,1.5873931686374743
2.61,-0.6486315354749239,1.5759044,3.3281761999999997,3.3282016367749394,1.5759053961449956
2.62,-0.6506873025010048,1.5645556,3.3397106,3.3397355130163175,1.5645566224391327
2.63,-0.6527383114007779,1.5533595999999998,3.3508254,3.350849798762754,1.553360647267834
2.64,-0.6547845471763181,1.5423304999999998,3.3614933000000002,3.3615171936797905,1.5423315710622973
2.65,-0.6568259948646036,1.531484,3.3716869999999997,3.3717103982267354,1.5314850937548246
2.66,-0.6588626395376252,1.5208363,3.3813810999999996,3.381404012388097,1.5208374158523124
2.67,-0.660894466302496,1.5104041000000001,3.3905523000000004,3.3905747357994094,1.5104052373493515
2.68,-0.6629214603015594,1.5002046,3.3991795,3.399201469505708,1.5002057585508064
2.69,-0.6649436067124984,1.4902549,3.4072461,3.4072676124578107,1.4902560793195472
2.7,-0.6669608907484438,1.4805722000000001,3.414739,3.414760065506946,1.48057340002102
2.71,-0.6689732976580823,1.4711726,3.4216504,3.421671028997439,1.471173820777846
2.72,-0.6709808127257645,1.4620712,3.4279781,3.427998302982089,1.4620724416771993
2.73,-0.6729834212716123,1.4532817,3.4337253,3.4337450877935467,1.4532829627131774
2.74,-0.6749811086516264,1.4448156,3.4389015,3.438920883229799,1.4448168841195888
2.75,-0.6769738602577933,1.4366822,3.4435217,3.443540689966494,1.4366835056534137
2.76,-0.678961661518192,1.4288882,3.4476064,3.447625008170547,1.4288895279334826
