# volRat = 0.800
# viscRat = 1.000
# Ca = 77.600
# W = 0.034
time,Ca_x,x_len,y_len,major_len,minor_len
49.06,0.785337546819935,3.5934805,1.2209488,3.593410556908137,1.2200366352213576
49.07,0.7866390555444258,3.5947434,1.2213021,3.594673097898017,1.22033516414958
49.08,0.7879370780526461,3.595977,1.2216502,3.595906345496865,1.2207260233880217
49.09,0.7892316085920362,3.5971824999999997,1.2219929999999999,3.597111500634881,1.2212074802822337
49.1,0.7905226414255123,3.5983608,1.2223307,3.5982894623429122,1.2220319664220718
49.11,0.7918101708314945,3.5995128999999997,1.2226631000000001,3.5994412308648696,1.2235342059242953
49.12,0.7930941911039256,3.6006399,1.2229904,3.600567905954946,1.225550858883634
49.13,0.7943746965523041,3.6017425999999997,1.2233125,3.6016702875860274,1.2491553533781579
49.14,0.7956516815017011,3.6028217,1.2236295,3.6027490756209373,1.3630117706858196
49.15,0.7969251402927943,3.6038781,1.2239413,3.6038051697487052,1.3759864218845017
49.16,0.7981950672818842,3.6049124,1.2242481,3.6048391697305675,1.3784569398136366
49.17,0.7994614568409278,3.6059251999999997,1.2245501,3.605851676034561,1.381315328162301
49.18,0.800724303357556,3.6069174999999998,1.2248470999999999,3.6068436881725714,1.382855737515491
49.19,0.8019836012351016,3.6078900000000003,1.2251395,3.6078159058412975,1.383910114590086
49.2,0.8032393448926275,3.6088432,1.2254269999999998,3.6087688292227265,1.3847401980043803
49.21,0.8044915287649441,3.6097776,1.2257098000000002,3.6097029581694766,1.3854495500915058
49.22,0.805740147302642,3.6106933999999997,1.225988,3.6106184924542912,1.3860858306187178
49.23,0.8069851949721084,3.6115912999999997,1.2262615000000001,3.611516132152934,1.386673720114087
49.24,0.80822666625556,3.6124718,1.2265305,3.612396377652396,1.387226908211181
49.25,0.8094645556510602,3.6133353,1.226795,3.6132596277482802,1.3877536894851343
49.26,0.8106988576725467,3.6141822,1.227055,3.6141062834027746,1.388259362528396
49.27,0.8119295668498585,3.6150129,1.2273106999999999,3.6149367439077604,1.3887470544780411
49.28,0.8131566777287534,3.6158278,1.2275621,3.6157514094055214,1.3892195885690308
49.29,0.8143801848709402,3.6166273,1.2278091999999998,3.616550679999743,1.3896782693894387
49.3,0.8156000828540946,3.6174118,1.2280521,3.617334955045993,1.3901246745125648
49.31,0.816816366271891,3.6181815999999998,1.2282909,3.618104534960902,1.390559605986963
49.32,0.8180290297340205,3.6189373,1.2285256,3.618860019671059,1.3909838281242677
49.33,0.8192380678662163,3.6196789000000003,1.2287564,3.6196014087390838,1.3913981112344556
49.34,0.8204434753102818,3.620407,1.2289831,3.620329302488562,1.3918028966044802
49.35,0.8216452467241068,3.6211216000000004,1.229206,3.6210437006146448,1.3921986415792476
49.36,0.8228433767816988,3.6218231999999997,1.229425,3.621745102499399,1.392585636852027
49.37,0.8240378601731996,3.6225121,1.2296402999999998,3.6224338094198583,1.3929642680324859
49.38,0.8252286916049157,3.6231885,1.2298518,3.6231100204867683,1.3933346760407326
49.39,0.8264158657993357,3.6238526,1.2300596000000001,3.6237739354152936,1.393697249681793
49.4,0.8275993774951561,3.6245048000000004,1.2302638,3.6244259548197277,1.3940522887667135
49.41,0.8287792214473069,3.6251452,1.2304644,3.6250661783567404,1.3943998653328489
49.42,0.8299553924269726,3.6257741,1.2306615,3.625694906040859,1.3947403432075325
49.43,0.8311278852216137,3.6263918,1.2308552000000001,3.626312437496382,1.3950737743565258
49.44,0.8322966946349917,3.6269983999999997,1.2310455,3.626918873277285,1.3954004009448886
49.45,0.8334618154871947,3.6275942,1.2312324000000001,3.627514512618366,1.3957203551566213
49.46,0.8346232426146541,3.6281792,1.2314159999999998,3.628099356147744,1.396033770854598
49.47,0.8357809708701749,3.6287539,1.2315963,3.6286739030643713,1.3963409713435597
49.48,0.8369349951229508,3.6293184,1.2317735,3.629238254198537,1.3966418883172542
49.49,0.8380853102585948,3.6298727,1.2319474000000001,3.629792408951886,1.3969368293064757
49.5,0.8392319111791547,3.6308768999999996,1.2319309,3.6308669197768584,1.3972679705682267
49.51,0.8403747928031396,3.630711,1.2322511999999999,3.6307010885477013,1.3975006789235018
49.52,0.8415139500655439,3.6305785,1.2325571,3.6305686489424676,1.3977399871698588
49.53,0.842649377917864,3.6304784999999997,1.2328493,3.6304687019163495,1.3979843951814872
49.54,0.8437810713281281,3.6304097,1.2331281,3.630399949177324,1.398232502901947
49.55,0.8449090252809109,3.63037,1.2333938,3.630360291397778,1.3984832104955496
49.56,0.8460332347773633,3.6303576,1.2336464999999999,3.6303479294757413,1.3987355178706593
49.57,0.847153694835228,3.6303705,1.2338867,3.6303608643392304,1.3989885251144
49.58,0.8482704004888643,3.630407,1.2341148,3.630397396362914,1.3992414322316744
49.59,0.8493833467892733,3.6304653,1.2343313999999999,3.6304557263507244,1.3994935391428864
49.6,0.8504925288041127,3.6305438,1.234537,3.6305342545078183,1.3997444459585104
49.61,0.8515979416177267,3.6306408,1.2347324,3.6306312814225334,1.3999934526773914
49.62,0.8526995803311599,3.6307547,1.234918,3.6307452073437867,1.4002401591954639
49.63,0.8537974400621867,3.6308842,1.2350946,3.6308747325254114,1.4004842655724192
49.64,0.8548915159453263,3.631028,1.2352627,3.631018557365689,1.4007253717371513
49.65,0.8559818031318673,3.6311847999999998,1.2354227999999998,3.6311753817741863,1.4009634779884848
49.66,0.8570682967898905,3.6313534,1.2355756,3.6313440060173328,1.401197984082757
49.67,0.8581509921042891,3.6315327,1.2357215,3.631523330455839,1.4014288899874399
49.68,0.8592298842767879,3.6317216,1.2358609,3.631712254922835,1.401655995802867
49.69,0.8603049685259662,3.6319192,1.2359943,3.631909879555279,1.4018792014638652
49.7,0.861376240087282,3.6321244999999998,1.2361221,3.6321152046256358,1.4020983068569426
49.71,0.8624436942130876,3.6323369,1.2362446999999999,3.632327629966081,1.4023134121768923
49.72,0.8635073261726538,3.6325555,1.2363623,3.6325462558656474,1.402524317353821
49.73,0.8645671312521914,3.6327794,1.2364754,3.6327701821882137,1.402731022478878
49.74,0.8656231047548719,3.6330080999999996,1.2365843,3.6329989091447468,1.4029335274513532
49.75,0.8666752420008451,3.633241,1.2366890000000001,3.6332318364657525,1.4031318322542186
49.76,0.8677235383272628,3.6334773,1.23679,3.633468164549987,1.4033258369674675
49.77,0.8687679890883012,3.6337165000000002,1.2368876,3.6337073931289203,1.4035156416502415
49.78,0.8698085896551769,3.6339582,1.2369819,3.6339491223226057,1.4037013462106054
49.79,0.8708453354161694,3.6342018,1.237073,3.6341927522569377,1.4038828505219898
49.8,0.8718782217766439,3.6344469999999998,1.2371613,3.634437982736946,1.4040601548117453
49.81,0.8729072441590695,3.6346933999999997,1.2372468,3.6346844138761565,1.4042336590565523
49.82,0.873932398003038,3.6349404,1.2373298,3.6349314456085384,1.4044028632628938
49.83,0.8749536787652856,3.6351880000000003,1.2374103,3.6351790780335342,1.4045683671846534
49.84,0.8759710819197158,3.6354355,1.2374886,3.6354266108318485,1.4047297712468056
49.85,0.8769846029574144,3.6356829,1.2375647,3.6356740444711253,1.4048874750864162
49.86,0.8779942373866717,3.6359298,1.2376387,3.635920978652532,1.4050413788352958
49.87,0.8789999807330044,3.6361761,1.2377107999999999,3.636167313395325,1.4051915824470087
49.88,0.8800018285391737,3.6364215,1.2377810999999999,3.6364127486588593,1.4053382860298644
49.89,0.8809997763652032,3.6366657,1.2378494999999998,3.636656984512915,1.4054812894722926
49.9,0.8819938197884006,3.6369086,1.2379164,3.6368999208646264,1.4056208928767948
49.91,0.8829839544033785,3.6371501,1.2379815,3.6371414579396117,1.405757096209919
49.92,0.8839701758220734,3.63739,1.2380453,3.637381395520861,1.4058899993980223
49.93,0.8849524796737593,3.6376281,1.2381076,3.637619533599553,1.4060197025830892
49.94,0.8859308616050772,3.6378643,1.2381684,3.6378557720598255,1.4061463056131622
49.95,0.886905317280048,3.6380985,1.2382279,3.638090010936488,1.4062696085927109
49.96,0.8878758423800914,3.6383305999999997,1.2382861,3.638322150400671,1.4063900114678052
49.97,0.8888424326040469,3.6385605,1.2383432,3.6385520904148354,1.4065074143516443
49.98,0.8898050836681937,3.6387882,1.238399,3.638779830776411,1.4066220171675878
49.99,0.8907637913062695,3.6390135,1.2384536000000002,3.639005171520364,1.4067337199060135
50.0,0.8917185512694837,3.6392364,1.2385072,3.639228112690438,1.4068427226455258
50.01,0.8926693593265457,3.6394568,1.2385597000000002,3.6394485543239696,1.4069490251839214
50.02,0.893616211263678,3.6396748,1.2386111,3.6396665963061796,1.4070527277119784
50.03,0.8945591028846342,3.6398903000000002,1.2386615,3.6398821386296984,1.4071539301552778
50.04,0.8954980300107194,3.6401031,1.2387109,3.6400949814268264,1.4072527325403974
50.05,0.8964329884808099,3.6403134,1.2387593,3.6403053245028665,1.4073490348755837
50.06,0.8973639741513709,3.6405212000000002,1.2388069,3.640513168045853,1.4074430372535085
50.07,0.8982909828964697,3.6407262,1.2388535,3.6407182117920565,1.407534739585448
50.08,0.8992140106078031,3.6409285999999996,1.2388993,3.6409206559768936,1.4076242418106966
50.09,0.9001330531947104,3.6411283,1.2389441,3.6411204004626123,1.4077115440366843
50.1,0.90104810658419,3.6413254,1.2389882,3.6413175452046573,1.4077968462247283
50.11,0.9019591667209202,3.6415197,1.2390315,3.6415118901895323,1.40788004827158
50.12,0.902866229567278,3.6417115000000004,1.2390739,3.641703735632324,1.407961150307345
50.13,0.9037692911033558,3.6419004,1.2391155,3.64189268127191,1.408040452350997
50.14,0.9046683473269749,3.6420868,1.2391562999999999,3.642079126998023,1.408117854355167
50.15,0.9055633942537117,3.6422706,1.2391965,3.642262973028445,1.4081934562873457
50.16,0.90645442791691,3.6424518,1.2392359000000002,3.642444219516478,1.4082671581226331
50.17,0.9073414443676983,3.6426302,1.2392745,3.642622665996652,1.4083393599431397
50.18,0.9082244396750083,3.6428062,1.2393124,3.64279871273042,1.4084095618009913
50.19,0.9091034099255944,3.6429796999999997,1.2393496000000002,3.6429722599365704,1.4084783635963856
50.2,0.9099783512240486,3.6431506000000002,1.2393861,3.643143207085756,1.408545365253906
50.21,0.9108492596928174,3.643319,1.2394219,3.6433116547337194,1.408610966893605
50.22,0.9117161314722196,3.6434849,1.2394571,3.6434776024370965,1.4086748685047672
50.23,0.9125789627204657,3.6436484,1.2394916,3.6436411503665704,1.4087374700094109
50.24,0.913437749613673,3.6438093,1.2395255,3.643802098672854,1.4087984715309552
